trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
78,QCOM,2019-11-08,2019-12-04,90.20495336532592,80.71769817352295,367,33270.74397449998,29475.278253534507,-3795.4657209654724,-0.11407817402203169,Supertrend down,-11.41%
79,AMD,2019-12-04,2019-12-17,39.47845107078552,42.40372332572937,744,29518.827434647745,31390.628303570942,1871.8008689231974,0.06341040724152114,Leader rotation,+6.34%
80,TSLA,2019-12-17,2020-02-12,25.329165749549865,51.72835670471191,1221,31081.545937101382,62844.52191877098,31762.9759816696,1.0219239430994587,Supertrend down,+102.19%
81,LRCX,2020-02-12,2020-02-20,32.881999235153195,33.11201219558716,1912,63184.734450300966,62993.61648137284,-191.11796892812708,-0.003024749104207358,Leader rotation,-0.30%
82,NVDA,2020-02-20,2020-03-02,7.838798232078552,6.905193883180619,7993,62968.79184034887,54917.24863472138,-8051.543205627495,-0.1278656135890519,Supertrend down,-12.79%
83,REGN,2020-04-15,2020-04-20,526.6132377624511,565.2932469177247,103,54512.36930698012,57934.078410363014,3421.709103382891,0.0627694071434306,Leader rotation,+6.28%
84,TSLA,2020-04-20,2020-07-02,48.96878491401672,81.22841920852662,1156,56890.95493740634,93430.55234203149,36539.59740462514,0.6422742849865579,Leader rotation,+64.23%
85,ZM,2020-07-02,2020-07-09,261.6525,268.337484741211,333,87565.93391249998,88909.60050672914,1343.6665942291584,0.015344627004969968,Leader rotation,+1.53%
86,TSLA,2020-07-09,2020-07-29,93.36549921035765,99.81649898529054,1025,96178.13487406967,101800.3519026232,5622.217028553525,0.05845629088061388,Leader rotation,+5.85%
87,ZM,2020-07-29,2020-08-18,256.1888780593872,271.04070121765136,394,101443.11004517555,106256.08609835587,4812.976053180319,0.04744507587589686,Supertrend down,+4.74%
88,TSLA,2020-08-18,2020-08-26,126.91583305358886,136.98999492645265,836,106632.14461496427,113951.01757972184,7318.872964757567,0.06863664789998492,Leader rotation,+6.86%
89,ZM,2020-08-26,2020-09-15,293.73249999999996,408.975,382,112766.84407499997,155447.30775,42680.463675000035,0.37848415485152476,Supertrend down,+37.85%
90,ZM,2020-10-13,2020-10-26,495.23499999999996,519.1877911376953,314,156281.30894999998,162209.84158515013,5928.532635150157,0.03793500755133117,Leader rotation,+3.79%
91,ALGN,2020-10-26,2020-11-09,463.8868360137939,499.7475,337,157111.51305533177,167572.8329625,10461.319907168217,0.06658531703837611,Leader rotation,+6.66%
92,PDD,2020-11-09,2020-11-19,112.86145183563232,134.10390243530273,1432,162425.6870237686,191076.60434591674,28650.917322148132,0.17639400421902174,Leader rotation,+17.64%
93,TSLA,2020-11-19,2021-02-16,164.41,271.9849898529053,1216,200922.17279999997,329080.07892282715,128157.90612282717,0.6378484979375416,Leader rotation,+63.78%
94,MRNA,2021-02-16,2021-03-03,182.86602867126464,145.7247713470459,1777,326577.69761358143,257658.15409028204,-68919.54352329939,-0.2110356709197193,Supertrend down,-21.10%
95,AMAT,2021-04-06,2021-05-17,144.2397048950195,121.69500000000001,1800,260929.6261550903,217955.745,-42973.88115509029,-0.16469529270527394,Supertrend down,-16.47%
96,MRNA,2021-06-11,2021-07-08,212.42974388122556,215.1208536529541,997,212851.41692282978,213403.11363653527,551.696713705489,0.0025919334796136173,Leader rotation,+0.26%
97,AMAT,2021-07-08,2021-07-22,131.96909938812254,136.6575,1647,218439.87222569901,223949.52798749998,5509.655761800968,0.025222756750691744,Leader rotation,+2.52%
