param_entry,param_market_filter,param_asset_filter,param_rs_period,param_st_period,param_st_multiplier,param_sell_confirm_bars,param_max_positions,start,end,total_return,qqq_return,alpha,mdd,cagr,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,score
triple,1d,none,50,,,1,3,2010-03-18 00:00:00,2026-07-16 00:00:00,1.756045193925722,13.743779643059835,-11.987734449134113,-0.45617841269050696,0.06405534085749687,0.14041729962560734,0.36910872243788,0.5308679106763401,0.5485122897800776,1.0143957804663772,773,1.4021757254464529
triple,1d,none,50,,,1,4,2010-03-18 00:00:00,2026-07-16 00:00:00,2.014697111018242,13.743779643059835,-11.729082532041593,-0.4309480564121674,0.06991692991829179,0.16223980797217435,0.4057149312355551,0.5738467483280707,0.5493096646942801,1.0122825053959148,1014,1.682110113825575
triple,1d,none,50,,,1,5,2010-03-18 00:00:00,2026-07-16 00:00:00,2.1205342459500383,13.743779643059835,-11.623245397109796,-0.3762261880228057,0.07218022828129578,0.19185328023183867,0.426298742744235,0.612817385506698,0.5431596091205212,1.054730369407352,1228,1.8323422578141206
triple,1d,none,50,,,1,6,2010-03-18 00:00:00,2026-07-16 00:00:00,1.303187695633678,13.743779643059835,-12.440591947426157,-0.3891337425799639,0.052422047556686335,0.13471473126212902,0.3500255905269717,0.49292937685624094,0.5289256198347108,1.0647905135731504,1452,1.002381469285516
triple,1d,none,50,,,1,7,2010-03-18 00:00:00,2026-07-16 00:00:00,1.4041069182247097,13.743779643059835,-12.339672724835125,-0.42924774540857746,0.055189702977821664,0.12857307596406733,0.3706517174926234,0.5225236206292309,0.5291319857312723,1.0734274881468688,1682,1.0718282734226263
triple,1d,none,50,,,1,8,2010-03-18 00:00:00,2026-07-16 00:00:00,1.7406174133107761,13.743779643059835,-12.003162229749059,-0.4266174934521323,0.06368959647358086,0.14928969733100506,0.41998733755842593,0.5935545795284225,0.5271966527196653,1.0940805702153642,1912,1.4119230386758232
triple,1d,none,50,,,1,9,2010-03-18 00:00:00,2026-07-16 00:00:00,1.5106491249310756,13.743779643059835,-12.233130518128759,-0.35509866360785525,0.057995638522090776,0.16332260429494852,0.39710495929248735,0.5605503191100916,0.5183946488294314,1.1151574869653438,2093,1.2384833428235662
triple,1d,none,50,,,1,10,2010-03-18 00:00:00,2026-07-16 00:00:00,1.0698687668397184,13.743779643059835,-12.673910876220116,-0.3314525125192004,0.045560368918890815,0.13745670102968852,0.3408982429459339,0.4755316795893859,0.5145922746781116,1.09279148506701,2330,0.8149337041127361
triple,1d,none,100,,,1,3,2010-05-28 00:00:00,2026-07-16 00:00:00,4.4182716418097066,14.464803309684998,-10.046531667875291,-0.4551849589802286,0.11041398396826851,0.24256949134618583,0.5310521704485769,0.7890741620733034,0.532608695652174,1.1818619099593015,736,4.0700552397389815
triple,1d,none,100,,,1,4,2010-05-28 00:00:00,2026-07-16 00:00:00,3.7280994153646967,14.464803309684998,-10.7367038943203,-0.4152027796648038,0.10107597949675662,0.24343762722002002,0.5241055600691353,0.7621561677243152,0.5351239669421488,1.1494503622146275,968,3.4116603584349274
